"PHEC_result_ID","PHEC_result_extras_ID","result_extras_id","result_extras_key","result_extras_package_id","result_extras_revision_id","result_extras_revision_timestamp","result_extras_state","result_extras_value"
"1","1","1ca4dba1-cc76-4009-af4e-fcaa432b5685","coverage_end_date","299dd760-040d-4006-a96b-beb67d785b79","e661ce71-e5ee-4815-b239-c0b73d40875b","2015-11-27T18:35:10.976147","active",""
"1","2","d2792e02-aae0-499a-b691-e3b56ce6b8b7","coverage_start_date","299dd760-040d-4006-a96b-beb67d785b79","e661ce71-e5ee-4815-b239-c0b73d40875b","2015-11-27T18:35:10.976147","active",""
"1","3","e812b178-d843-41af-9430-66c3a0bfd4bd","directoryprojectlink","299dd760-040d-4006-a96b-beb67d785b79","053d436a-1b16-44bc-955a-ceb9a609bd9f","2016-10-04T15:40:17.203477","active",""
"1","4","eb002fd0-b07a-405b-a025-cea59da55cba","directoryprojectname","299dd760-040d-4006-a96b-beb67d785b79","053d436a-1b16-44bc-955a-ceb9a609bd9f","2016-10-04T15:40:17.203477","active",""
"1","5","b184a185-7b0e-4046-a764-f52d4d94b391","homepage","299dd760-040d-4006-a96b-beb67d785b79","053d436a-1b16-44bc-955a-ceb9a609bd9f","2016-10-04T15:40:17.203477","active",""
"1","6","019c6190-b4bd-491f-9d16-911bf7115396","origin","299dd760-040d-4006-a96b-beb67d785b79","e661ce71-e5ee-4815-b239-c0b73d40875b","2015-11-27T18:35:10.976147","active","http://systems.hscic.gov.uk/data/ods/datadownloads/monthamend"
"2","7","62a75c30-3793-407a-9684-1d751c66c410","coverage_end_date","7327f192-be9f-42b8-81f8-9764f96f9116","72609f0c-6a07-4711-8fb6-36dce3391fac","2016-09-29T09:06:59.786013","active","2016-08-01"
"2","8","1b19d92e-4ef5-41e7-8c4d-e9e0096bc4af","coverage_start_date","7327f192-be9f-42b8-81f8-9764f96f9116","72609f0c-6a07-4711-8fb6-36dce3391fac","2016-09-29T09:06:59.786013","active","2016-08-01"
"2","9","7cfac5f3-bc73-4643-8f49-7971b9a8918f","directoryprojectlink","7327f192-be9f-42b8-81f8-9764f96f9116","72609f0c-6a07-4711-8fb6-36dce3391fac","2016-09-29T09:06:59.786013","active",""
"2","10","e42863fc-33db-449c-a264-3815003476df","directoryprojectname","7327f192-be9f-42b8-81f8-9764f96f9116","72609f0c-6a07-4711-8fb6-36dce3391fac","2016-09-29T09:06:59.786013","active","GP Practice Submitted Inner Catchment Area "
