2,1,Wales
2,2,Population
2,3,England
2,4,United Kingdom
2,5,Ireland
3,1,Wales
3,2,Population
3,3,England
3,4,United Kingdom
3,5,Ireland
4,1,Wales
4,2,Population
4,3,England
4,4,United Kingdom
4,5,Ireland
5,1,Wales
5,2,Population
5,3,England
5,4,United Kingdom
5,5,Ireland
6,1,Wales
6,2,Population
6,3,England
6,4,United Kingdom
6,5,Ireland
7,1,Wales
7,2,Population
7,3,England
7,4,United Kingdom
7,5,Ireland
8,1,Wales
8,2,Population
8,3,England
8,4,United Kingdom
8,5,Ireland
9,1,Wales
9,2,Population
9,3,England
9,4,United Kingdom
9,5,Ireland
10,1,Wales
10,2,Population
10,3,England
10,4,United Kingdom
10,5,Ireland
11,1,Wales
11,2,Population
11,3,England
12,1,Wales
12,2,Population
12,3,England
13,1,Wales
13,2,Population
13,3,England
14,1,Wales
14,2,Population
14,3,England
15,1,Wales
15,2,Population
15,3,England
16,1,Wales
16,2,Population
16,3,England
17,1,Wales
17,2,Population
17,3,England
18,1,Wales
18,2,Population
18,3,England
19,1,health area
19,2,clusters
19,3,ward
19,4,output area classifications
19,5,data zones
19,6,geography
19,7,super output area
19,8,local authority
20,1,health area
20,2,clusters
20,3,ward
20,4,output area classifications
20,5,data zones
20,6,geography
20,7,super output area
20,8,local authority
21,1,Scotland
21,2,Wales
21,3,Population
21,4,England
21,5,United Kingdom
21,6,Ireland
22,1,Scotland
22,2,Wales
22,3,Population
22,4,England
22,5,United Kingdom
22,6,Ireland
23,1,nursing homes
23,2,care establishments
23,3,residents
23,4,children's homes
23,5,staff
23,6,medical establishments
23,7,residential care homes
24,1,longstanding illness
24,2,long-standing illness
24,3,long-term illness
24,4,LLTI
24,5,limiting long term illness
24,6,long term illness
25,1,longstanding illness
25,2,long-standing illness
25,3,long-term illness
25,4,LLTI
25,5,long term illness
25,6,well being
26,1,Population
26,2,Employment
26,3,Economic
27,1,Population
27,2,Ethnic group
27,3,Ethnicity
28,1,Scotland
28,2,Wales
28,3,Population
28,4,England
28,5,United Kingdom
28,6,Ireland
28,7,households
29,1,Dependents
29,2,Population
29,3,Children
29,4,Dependent
29,5,households
29,6,Child
30,1,Population
30,2,Pensioners
30,3,Older people
30,4,households
30,5,Elderly
31,1,Education
31,2,Population
31,3,Qualifications
32,1,social class
32,2,Population
32,3,Unemployment
32,4,Employment
32,5,Poverty
33,1,socio-economic classification
33,2,socio-economic
33,3,Unemployment
33,4,Employment
33,5,Poverty
34,1,lone parent family
34,2,lone parent families
34,3,Dependents
34,4,Population
34,5,Children
34,6,lone parent
34,7,Dependent
34,8,Child
35,1,broken leg
35,2,surgery
35,3,episodes
35,4,hospital
35,5,hospital episode
35,6,HES
35,7,hospital episode statistics
35,8,accidents
35,9,broken bones
35,10,fractures
36,1,broken leg
36,2,surgery
36,3,episodes
36,4,hospital
36,5,hospital episode
36,6,HES
36,7,hospital episode statistics
36,8,accidents
36,9,broken bones
36,10,fractures
37,1,broken leg
37,2,surgery
37,3,episodes
37,4,hospital
37,5,hospital episode
37,6,HES
37,7,hospital episode statistics
37,8,accidents
37,9,broken bones
37,10,fractures
44,1,broken leg
44,2,surgery
44,3,episodes
44,4,hospital
44,5,hospital episode
44,6,HES
44,7,hospital episode statistics
44,8,accidents
44,9,broken bones
44,10,fractures
45,1,broken leg
45,2,surgery
45,3,episodes
45,4,hospital
45,5,hospital episode
45,6,HES
45,7,hospital episode statistics
45,8,accidents
45,9,broken bones
45,10,fractures
46,1,broken leg
46,2,surgery
46,3,episodes
46,4,hospital
46,5,hospital episode
46,6,HES
46,7,hospital episode statistics
46,8,accidents
46,9,broken bones
46,10,fractures
47,1,accident
47,2,accidents
47,3,death
47,4,deaths
47,5,fall
47,6,falls
47,7,mortality
47,8,Years of life lost
47,9,YLL
48,1,accident
48,2,accidents
48,3,death
48,4,deaths
48,5,fall
48,6,falls
48,7,mortality
48,8,Years of life lost
48,9,YLL
49,1,accident
49,2,accidents
49,3,death
49,4,deaths
49,5,mortality
50,1,accident
50,2,accidents
50,3,death
50,4,deaths
50,5,mortality
52,1,accident
52,2,accidents
52,3,death
52,4,deaths
52,5,mortality
53,1,accident
53,2,accidents
53,3,death
53,4,deaths
53,5,mortality
54,1,accident
54,2,accidents
54,3,death
54,4,deaths
54,5,mortality
55,1,accident
55,2,accidents
55,3,death
55,4,deaths
55,5,mortality
56,1,accident
56,2,accidents
56,3,death
56,4,deaths
56,5,mortality
57,1,accident
57,2,accidents
57,3,death
57,4,deaths
57,5,mortality
58,1,accident
58,2,accidents
58,3,death
58,4,deaths
58,5,mortality
59,1,accident
59,2,accidents
59,3,death
59,4,deaths
59,5,mortality
60,1,accident
60,2,accidents
60,3,death
60,4,deaths
60,5,mortality
61,1,accident
61,2,accidents
61,3,death
61,4,deaths
61,5,mortality
62,1,accident
62,2,accidents
62,3,death
62,4,deaths
62,5,mortality
63,1,accident
63,2,accidents
63,3,death
63,4,deaths
63,5,mortality
64,1,accident
64,2,accidents
64,3,death
64,4,deaths
64,5,mortality
65,1,accident
65,2,accidents
65,3,death
65,4,deaths
65,5,mortality
66,1,accident
66,2,accidents
66,3,death
66,4,deaths
66,5,mortality
67,1,accident
67,2,accidents
67,3,death
67,4,deaths
67,5,mortality
68,1,accident
68,2,accidents
68,3,death
68,4,deaths
68,5,mortality
69,1,accident
69,2,accidents
69,3,death
69,4,deaths
69,5,mortality
70,1,accident
70,2,accidents
70,3,death
70,4,deaths
70,5,mortality
71,1,accident
71,2,accidents
71,3,death
71,4,deaths
71,5,mortality
72,1,accident
72,2,accidents
72,3,death
72,4,deaths
72,5,mortality
73,1,accident
73,2,accidents
73,3,death
73,4,deaths
73,5,mortality
74,1,accident
74,2,accidents
74,3,death
74,4,deaths
74,5,mortality
75,1,accident
75,2,accidents
75,3,death
75,4,deaths
75,5,mortality
76,1,accident
76,2,accidents
76,3,death
76,4,deaths
76,5,mortality
77,1,accident
77,2,accidents
77,3,death
77,4,deaths
77,5,mortality
78,1,accident
78,2,accidents
78,3,death
78,4,deaths
78,5,mortality
79,1,accident
79,2,accidents
79,3,death
79,4,deaths
79,5,mortality
80,1,accident
80,2,accidents
80,3,death
80,4,deaths
80,5,mortality
81,1,accident
81,2,accidents
81,3,death
81,4,deaths
81,5,mortality
82,1,accident
82,2,accidents
